epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,156.287,0.78181,1.13058,1.26456,0.70018,0.63333,0.85923,0.59484,1.56323,1.30537,1.39802,2.82082e-05,2.82082e-05,2.82082e-05
40,160.217,0.95332,0.70036,1.37932,0.70018,0.63333,0.85923,0.59484,1.56323,1.30537,1.39802,2.84911e-05,2.84911e-05,2.84911e-05
41,164.272,0.68998,0.61695,1.08637,0.68319,0.61667,0.88317,0.60701,1.55867,1.29685,1.39337,2.87504e-05,2.87504e-05,2.87504e-05
42,168.255,0.81692,0.87458,1.21707,0.68319,0.61667,0.88317,0.60701,1.55867,1.29685,1.39337,2.89861e-05,2.89861e-05,2.89861e-05
43,172.357,0.46641,1.27832,1.07772,0.67349,0.61667,0.88139,0.60555,1.56372,1.29963,1.39202,2.91983e-05,2.91983e-05,2.91983e-05
44,175.988,0.72189,0.703,1.17066,0.67349,0.61667,0.88139,0.60555,1.56372,1.29963,1.39202,2.93869e-05,2.93869e-05,2.93869e-05
45,178.967,0.50467,0.56353,1.0534,0.66877,0.61667,0.93416,0.61108,1.58024,1.30281,1.39601,2.9552e-05,2.9552e-05,2.9552e-05
46,181.725,0.85868,0.68156,1.369,0.66877,0.61667,0.93416,0.61108,1.58024,1.30281,1.39601,2.96935e-05,2.96935e-05,2.96935e-05
47,184.417,0.5688,0.61914,1.01963,0.78749,0.58333,0.93343,0.60395,1.59512,1.30632,1.39395,2.98114e-05,2.98114e-05,2.98114e-05
48,186.868,0.55847,0.56768,1.05296,0.78749,0.58333,0.93343,0.60395,1.59512,1.30632,1.39395,2.99058e-05,2.99058e-05,2.99058e-05
49,189.561,0.89138,0.61622,1.24569,0.80718,0.58308,0.93401,0.61093,1.61043,1.3296,1.38851,2.99766e-05,2.99766e-05,2.99766e-05
50,192.086,0.74172,0.50807,1.15129,0.80718,0.58308,0.93401,0.61093,1.61043,1.3296,1.38851,3.00238e-05,3.00238e-05,3.00238e-05
51,195.124,0.67771,0.55131,1.11153,0.80886,0.57537,0.93348,0.61346,1.6204,1.34278,1.39259,3.00475e-05,3.00475e-05,3.00475e-05
52,197.663,0.54934,0.41028,1.03432,0.80886,0.57537,0.93348,0.61346,1.6204,1.34278,1.39259,3.00476e-05,3.00476e-05,3.00476e-05
53,200.273,0.60553,0.43575,1.13766,0.80886,0.57537,0.93348,0.61346,1.6204,1.34278,1.39259,3.00242e-05,3.00242e-05,3.00242e-05
54,202.745,0.66966,0.71065,1.20034,0.81788,0.56667,0.93371,0.61113,1.61938,1.35501,1.39208,2.99772e-05,2.99772e-05,2.99772e-05
55,205.106,0.68206,0.54571,1.04705,0.81788,0.56667,0.93371,0.61113,1.61938,1.35501,1.39208,2.99066e-05,2.99066e-05,2.99066e-05
56,207.773,0.68858,0.70419,1.05082,0.81788,0.56667,0.93371,0.61113,1.61938,1.35501,1.39208,2.98125e-05,2.98125e-05,2.98125e-05
57,210.372,0.56678,0.48242,1.02027,0.83854,0.56667,0.93275,0.61216,1.6183,1.36245,1.38399,2.96948e-05,2.96948e-05,2.96948e-05
58,213.004,0.59107,0.49771,1.08124,0.83854,0.56667,0.93275,0.61216,1.6183,1.36245,1.38399,2.95535e-05,2.95535e-05,2.95535e-05
59,215.568,0.68525,0.42867,1.11533,0.83854,0.56667,0.93275,0.61216,1.6183,1.36245,1.38399,2.93887e-05,2.93887e-05,2.93887e-05
60,218.14,0.72936,0.66988,1.20978,0.85014,0.56667,0.90453,0.62316,1.60583,1.36315,1.37009,2.92003e-05,2.92003e-05,2.92003e-05
61,221.964,0.46777,0.54449,1.01505,0.85014,0.56667,0.90453,0.62316,1.60583,1.36315,1.37009,2.89884e-05,2.89884e-05,2.89884e-05
62,225.767,0.61212,0.4618,1.12814,0.85014,0.56667,0.90453,0.62316,1.60583,1.36315,1.37009,2.87529e-05,2.87529e-05,2.87529e-05
